"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","prediction2","prediction3","prediction4","prediction5","prediction6","prediction7","prediction8","prediction9","prediction10","timeToPredict","Correct"
"376","Right here we have a cross-pollination of a zombie flick, jungle action, Rambo shoot-em-up, voodoo horror and Friday the 13th gore job. This is like a discount closeout at the Everything Must Go Cliche Store with macho mercenaries, damsels in distress, harrowing escapes, creatures leaping out of the shadows, shocking bloody effects and an ending that is as nihilistic as it is stupid. It's like the film-makers had to do something with all of these leftovers from every other movie made in 1989 so they lumped them all in here, slapped a title on it and hoped for the best.","right here we have a crosspollination of a zombie flick jungle action rambo shootemup voodoo horror and friday the th gore job this is like a discount closeout at the everything must go cliche store with macho mercenaries damsels in distress harrowing escapes creatures leaping",46,"out","bed","ability","shadows",NA,NA,NA,NA,NA,NA,NA,0.0500000000029104,FALSE
"377","I sell Avon products and have list of houses canvassed, catalogues delivered, returned, due, orders, customer details, etc. Thankfully I enjoy making lists.","i sell avon products and have list of houses canvassed catalogues delivered returned due orders customer details etc thankfully i",21,"enjoy","enjoy","close","pleasure","lasagna","rectified",NA,NA,NA,NA,NA,0.0199999999967986,TRUE
"378","Heartbroken Corrie star Kym Marsh has begged fiancé Jamie Lomas to come clean after cheating claims","heartbroken corrie star kym marsh has begged fianc� jamie lomas to come",13,"clean","up","to","over",NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,FALSE
"379","“Dear Sir,","“dear",2,"sir",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"380","What is the reaction of man when Jesus Christ reveals Himself? We want to look at this in three ways and one of these will relate to you. Naturally we look at Saul of Tarsus. He had been blind spiritually, not comprehending the light. In John 1:5 we see this truth. And the light shineth in darkness; and the darkness comprehended it not.” Up to this point Saul did not recognise his spiritual condition of being in darkness.","what is the reaction of man when",8,"jesus","will","one","made","see","night","also","take","just","media","first",0.0500000000029104,FALSE
"381","7:20: I toast up some frozen waffles for Junebug.","i toast",3,"up","along","frozen",NA,NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,FALSE
"382","Opinions of Counsel - Infringement/ Validity; content and handling by Christopher P. Isaac– Partner, Finnegan, Henderson, Farabow, Garrett & Dunner LLP, Reston, Virginia","opinions of counsel infringement validity content",7,"and","will","beer","provided","date","suddenly","appears","twilight","citizen","charging","consider",0.0100000000020373,FALSE
"383","Place 1 tbsp filling in the center of each wonton wrapper. Brush the edges of the wrappers with egg, and pinch the edges to seal into a square.","place tbsp filling in the center of each wonton wrapper brush the edges",14,"of","of",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,TRUE
"384","We operate in strict ways, for the benefit and survival of the pack. Everyone is important and everyone has their role to play. It is easy and everyone understands.","we operate in strict ways for the benefit",9,"and","of",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,FALSE
"385","Pure Shiraz from the Medlands vineyard on the Barossa Valley floor.","pure shiraz from",4,"the","medlands",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,FALSE
"386","“And it happened, in the spring of the year, at the time kings go out to battle, that Joab led out the armed forces and ravaged the country of the people of Ammon, and came and besieged Rabbah. But David stayed at Jerusalem. And Joab defeated Rabbah and overthrew it.” 1 Chronicles 20:1","“and it happened in the spring of the year at the time kings go out to battle that joab led out the armed forces and ravaged the country of the people of ammon and came and besieged rabbah but",40,"david","david","overthrew",NA,NA,NA,NA,NA,NA,NA,NA,0.0400000000008731,TRUE
"387","I have two stories I would like to tell today, the first is both humorous and embarrassing. The second involves the published Author Chris D'Lacey","i have",3,"two","to","been","never","not","seen","the","found","had","an","really",0.0299999999988358,FALSE
"388","There are several varieties of kelp: true kelp, which thrives in cool seas; giant kelp, and bladder kelp, which grow in the North Pacific. Giant kelp is so named because it grows to 213 ft (65 m). Kelp anchors itself to rocky surfaces via tentacle-like roots. From these roots grows a slender stalk with long, leaf-like blades.","there are several",4,"varieties","years","times","new","weeks","old","days","people","little","minutes","dress",0.0100000000020373,FALSE
"389","MH: Thanks for playing along. Besides January's release of Giant Thief is there anything you'd like to mention to close us out?","mh thanks for playing along besides januarys release of",10,"giant","the",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,FALSE
"390","To quote from the “press release” accompanying the new episode:","to quote from",4,"the","sister","opening","verses","cleolinda","doctors","postedits",NA,NA,NA,NA,0.0500000000029104,FALSE
"391","And my son’s face-this much for honor…","and my son’s facethis",5,"much","much",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,TRUE
"392","After church I decided to wander over to the library and see if it's open on Sundays (it isn't), and on the way there I stopped at the Commonwealth Avenue mall. (Mall as in ""long, narrow park"", not ""place where you drink an Orange Julius and wish you had money"".)","after church i decided to wander over to the library and see if its open on sundays it isnt and on the way there i stopped at the commonwealth avenue mall mall as in long narrow park not place where you drink an",44,"orange","find","lot","friends","made","experience","playing","clear","drive","feet","finished",0.0499999999956344,FALSE
