"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","source1","prediction2","source2","prediction3","source3","prediction4","source4","prediction5","source5","prediction6","source6","prediction7","source7","prediction8","source8","prediction9","source9","prediction10","source10","timeToPredict","Correct"
"73","I’m pretty late to the LCD Soundsystem party (a great oversight on my part), but thankfully rectified with Mr James Murphy’s third (and final?) outing of liquid crystal disco. It sounds effortlessly cool, but there’s so much going on, it’s just plain fun to listen to, dance to and do just about anything to – be it the washing up, filling out an application form or being attacked by PANDUHS!","i’m pretty",3,"late","sure","2","cool","2","just","2","girls","2","hell","2","to","2","with","2","and","2","for","2","on","2",0.0199999999895226,FALSE
"74","During this time, peaceful occupiers have been faced with continual harassment arrests, almost invariably on fabricated charges (“disorderly conduct,” “interfering with the conduct of a police officer”—the latter a charge that can be leveled, for instance, against those who try to twist out of the way when an officer is hitting them.) I have seen one protestor at Union Square arrested, by four officers using considerable force, for sitting on the ground to pet a dog; another, for wrapping a blanket around herself (neither were given warnings; but both behaviors were considered too close to “camping”); a third, an ex-Marine, for using obscene language on the Federal steps. Others were reportedly arrested on those same steps for singing a satirical version of the “Officer Krumpke” song from West Side Story. Almost no march goes by without one or two protestors, at least, being hurled against vehicles or have their heads bashed against the ground while being arrested for straying off the sidewalk. The message here is clear. Law has nothing to do with it. Anyone who engages in Occupy Wall Street-related activity should know they can be arrested, for virtually any reason, at any time.","during this time peaceful occupiers have been faced with continual harassment arrests almost invariably on fabricated charges “disorderly conduct” “interfering with the conduct of a police officer”—the latter a charge that can be leveled for instance against those",39,"who","who","3","against","32C","are","32A","him","32A","who","32A","us","2","you","2","below","32A","have","2","world","21",0.230000000010477,TRUE
"75","Schumann – Spanische Liebeslieder, op.138, nos 4 and 9","schumann – spanische liebeslieder",5,"op","nos","2","op","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0399999999935972,TRUE
"76","I'm in the process of building out an entire enchanted forest in one inch scale as part of my set for the Myrtle short film. Trees complete with faces and jelly jars hanging from the branches filled with fireflies / will o' the wisps. It's starting to look pretty good and I'm pleased with how the glass jars light up. They're all hand-blown glass and less than 1 cm in height. So like me, this project is pretty teeny.","im in the process of building out an entire enchanted forest in one inch scale as part of my set for the myrtle short film trees complete with faces and jelly jars hanging from the branches filled with fireflies will o the wisps its starting to look pretty good and im pleased with how the glass jars light up theyre all handblown glass and less than cm in height so like me",73,"this","this","4","me","51D","me","41C","like","52J","me","42C","me","42E","me","42F","this","31B","this","31A","on","31A",0.410000000003492,TRUE
"77","Simon Field / five from Gordon Belgrave / 57-61","simon field",3,"five","five","3","saw","2","bennett","2","science","2","from","2","five","21","along","21","five","2","edward","2","field","21",0.0800000000017462,TRUE
"78","POSTED BY MIKE SMITH AT 9:38 AM 1 COMMENTS","posted by mike smith at am",7,"comments","comments","4","am","51D","am","41C","comments","31A","am","42C","am","42E","am","42F","comments","3","cdt","3","comments","31B",0.589999999996508,TRUE
"79","But wait, broadcast industry opponents say. Aren’t broadcasters the rich and powerful few disenfranchising the rest of the country from having ubiquitous wireless broadband? Only they won’t say it quite like that, but the point is worth examining. Just 10 to 15 percent of U.S. households rely exclusively on over-the-air television. There is some evidence of cord-cutting–i.e., people ditching pay service for free TV–but not to the extent to suggest that ratio will double anytime soon. And we don’t know much yet about the adoption rate of mobile over-the-air TV because where is it already?","but wait broadcast industry opponents say aren’t broadcasters the rich and powerful",13,"few","few","3","and","32C","dont","31B","wise","2","for","2","creamy","31B","powerful","31B","you","31B","antioxidant","2","statements","2",0.230000000010477,TRUE
"80","Our system is broken. Government serves the interest of big business and big business only serves the interest of a very few, wealthy elites. It’s time to make our economy and our politics work for working people.","our system is broken government serves the interest of big business and big business only serves the interest of a very few wealthy elites it’s time to make our economy and",32,"our","our","4","and","41C","economy","42F","to","3","our","31B","and","32B","and","32C","how","3","our","3","and","31B",0.299999999988358,TRUE
"81","I was nervous about reading this passage. It's pretty emotional. That's some crazy brutality, you know? They aren't dying fast enough as they slowly suffocate on a cross where they are hanging by their hands and feet so let's break their legs so they die faster. Oh- he's already dead so let's put a gash in his side so that he bleeds.","i was nervous about reading this passage its pretty emotional thats some crazy brutality",15,"you","you","3","know","2","brutality","31B","of","32C","crazy","32C","needless","21","thinking","21","the","21","you","21","has","21",0.200000000011642,TRUE
"82","This time FVK provides brilliant material soundwise and musicwise. This is still weird narcotic hard core punk delivered with conviction and energy, probably their best recording so far.","this time fvk provides",5,"brilliant","provides","31B","provides","21","clues","2","and","2","something","2","brilliant","2","firming","2","made","32C","still","32C","device","32C",0.129999999990105,TRUE
"83","I rode from my house to RC1's house and when I was just about there I came to a place in the trail where it stopped suddenly with friendly 'no trespassing' signs suggesting that I find another route. Instead, I picked up my bike and crossed the rail road tracks anyway. That experience loosely parallels my week. Pushing forward, creating my own path... That or a silly rummycube analogy about switching around the tiles until they fit just right. I like thinking in metaphor.","i rode from my house to rcs house and when i was just about there i came to a place in the trail where it stopped suddenly with friendly no trespassing signs suggesting that i find another route instead i picked up my bike and crossed the rail road tracks anyway that",53,"experience","that","31B","anyway","32C","to","32A","went","32A","got","21","concluded","21","digress","21","is","21","experience","21","howl","21",0.220000000001164,TRUE
"84","Vacuum all carpeted areas and clean all other floors. Pull the couches away from the walls and get behind there. Every second week, remove the cushions and vacuum the inside of the couch on this day.","vacuum all carpeted areas and",6,"clean","all","3","and","31B","areas","32C","clean","3","this","32A","only","32A","clean","21","the","21","as","21","yes","32A",0.190000000002328,TRUE
