"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","source1","prediction2","source2","prediction3","source3","prediction4","source4","timeToPredict","Correct"
"89","First, choose your background colour or paper. For my card, I chose a Robins Egg paper from Echo Park's Springtime Paper Pack No 1. Resize the paper according to the size of your project, then import your digital stamp:","first choose your background colour or paper for my card i chose a robins egg paper from echo parks springtime paper",22,"pack","paper","21","scissors","2","creative","2","to","2",0.360000000000582,FALSE
"90","This blog, prior to any changes","this",2,"blog","what","2","done","2","something","2","post","2",0.0299999999988358,FALSE
"91","So although I didn’t have much technology at home I was getting pushed into it at school..","so although i didn’t have",6,"much","think","32C","cannot","32C","say","31A","say","2",0.310000000004948,FALSE
"92","Similarly, the new ‘code of conduct’ says women should not travel without a male companion and they should not mingle with men in places like schools, markets or offices.","similarly the new ‘code of conduct’ says women should not travel",12,"without","be","41C","a","3","without","3","be","32C",0.549999999995634,TRUE
"93","2. Gauge'n her ears out. I am presently wearing what appear to be large stainless steel curlicue fish hooks though each earlobe and while I don't recall the exact gauge they are about as big around as a common framing nail. They look wicked cool and divert attention away from the fact that I am 50, and dye my hair. Seriously. It works.","gaugen her ears out i am presently wearing what appear to",12,"be","be","4","be","31B","appear","32C","a","3",0.590000000003783,TRUE
"94","それじゃ～～ Pardon me for the short post. I have to go back to work for now.","そ゜じゃ�� pardon me",4,"for","the","3","for","3","for","21","short","21",0.169999999998254,TRUE
"95","The sun which changed to snow over night left residents unprepared with how to get to work and doing there day to day things.","the sun which changed to snow over night left residents unprepared",12,"with","how","2","residents","32C","get","2","an","21",0.410000000003492,FALSE
"96","Today I’ve been thinking about sentences and how to mangle them.","today",2,"i’ve","ill","2","the","2","of","2","been","2",0.0499999999956344,FALSE
"97","Mr. Requiro has soloed with the Tokyo Philharmonic, National Symphony Orchestra, Seattle Symphony, and and other orchestras across the U.S. His Carnegie Hall debut recital at Weill Hall was followed by a critically acclaimed San Francisco Performances recital at the Herbst Theatre. Soon after making his Kennedy Center debut, Mr. Requiro also completed the cycle of Beethoven’s Sonatas for Piano and Cello at the Phillips Collection in Washington, D.C. Actively involved in contemporary music, he has collaborated with composers Krzysztof Penderecki and Bright Sheng and most recently gave the Dutch premier of Pierre Jalbert’s Sonata for cello and piano at the 2010 Amsterdam Cello Biennale.","mr requiro has soloed with the tokyo philharmonic national symphony orchestra seattle symphony and and other orchestras across the us his carnegie hall debut recital at weill hall was followed by a critically acclaimed san francisco performances recital at the herbst theatre soon after making his kennedy center debut mr requiro also completed the cycle of beethoven’s sonatas for piano and cello at the phillips collection in washington dc actively involved in contemporary music he has collaborated with composers krzysztof penderecki and bright sheng and most recently gave the",90,"dutch","the","31B","at","32C","gave","32C","to","3",0.540000000000873,FALSE
"98","SXSW: The roller coaster ride of SXSW is not well recorded. Lines, crowds, and an ass load of crappy bands can make you anxious. You are watching the third mediocre band of the night. You want to leave, but your friends like the band. You go to see your ""can't miss pick of the night"". There's a line. You wait for 15 minutes. You give up and wander. You try not to be pissed. You make a random call: ""The Red Eyed Fly always has good Kharma for bands"". You stop in to find the drunkest bunch of musicians you've ever seen playing the most kick ass gypsy music ever. A beer distributor gives you a free beer to ""try"" it. You've had it before, but pretend not to. You call your friends to come over cause ""it kicks ass"". Life is good.","sxsw the roller coaster ride of sxsw is not well recorded lines crowds and an ass load of crappy bands can make you anxious you are watching the third mediocre band of the night you want to leave but your friends like the band you go to see your cant miss pick of the night theres a line you wait for minutes you give up and wander you try not to be pissed you make a random call the red eyed fly always has good kharma for bands you stop in to find the drunkest bunch of musicians youve ever seen playing the most kick ass gypsy music ever",110,"a","a","4","ever","41C","beer","3","a","31A",0.720000000001164,TRUE
"99","And a lot more trust","and",2,"a","half","2","bit","2","think","2","suk","2",0.0599999999976717,FALSE
"100","Every day. Every single day I do this with my nemesis I75. And every single day I remember what a dumbass I am for thinking I can beat the odds, that I won't be thinking unkind thoughts about whomever caused the accident that has resulted in the bumper to bumper clusterfuck that is the worst commute in the nation. I lament the fact that they don't have formal drivers' education here, that the public transportation system is pretty much nonexistent and, of course, I berate myself for once again for forgetting that the back roads aren't just more scenic. They're more efficient, too.","every day every single day i do this with my nemesis i and every single day i remember what a dumbass i am for thinking i can beat the odds that i wont be thinking unkind thoughts about whomever caused the",42,"accident","accident","3","the","31B","accident","21","of","32A",0.580000000001746,TRUE
